City,Model,CPC,Params
Albuquerque,Power-Pop,0.8037290195961707,1.21867128197514
Albuquerque,Power-POI,0.761591115266281,1.2586833993844142
Albuquerque,Exp-Pop,0.7808960147016498,0.2041138439360601
Albuquerque,Exp-POI,0.7398739096430063,0.2116290044169958
Albuquerque,Uniform,0.8188329389222594,0.0
Albuquerque,Weighted,0.8147828032828831,0.0
Albuquerque,Rad-Pop,0.4988392474482538,0.0
Albuquerque,Rad-POI,0.4901576328771818,0.0
Arlington,Power-Pop,0.8391434034778783,1.5411893186145205
Arlington,Power-POI,0.8266605135419802,1.5235401906727422
Arlington,Exp-Pop,0.8183469369516846,0.3573324245974585
Arlington,Exp-POI,0.8024643303306814,0.3532399634081451
Arlington,Uniform,0.8481318545634072,0.0
Arlington,Weighted,0.856987926510853,0.0
Arlington,Rad-Pop,0.6102812499333291,0.0
Arlington,Rad-POI,0.6079675620434908,0.0
Atlanta,Power-Pop,0.7706421208297802,1.5243495885497167
Atlanta,Power-POI,0.7237773737702232,0.9822534625631024
Atlanta,Exp-Pop,0.7803113761453324,0.3573686844603077
Atlanta,Exp-POI,0.7393631358647246,0.415176519732614
Atlanta,Uniform,0.8010214967674565,0.0
Atlanta,Weighted,0.8150932175815668,0.0
Atlanta,Rad-Pop,0.5643158559339994,0.0
Atlanta,Rad-POI,0.5515854648344886,0.0
Austin,Power-Pop,0.7715428195816372,1.385420892685717
Austin,Power-POI,0.5354184343068101,1.2935747055368074
Austin,Exp-Pop,0.7622020659986957,0.2138161045230895
Austin,Exp-POI,0.5258986507855977,0.252764940693168
Austin,Uniform,0.800910573958449,0.0
Austin,Weighted,0.6403458210363265,0.0
Austin,Rad-Pop,0.4959424982609755,0.0
Austin,Rad-POI,0.4082147967010416,0.0
Baltimore,Power-Pop,0.697477708602911,0.7524319062423176
Baltimore,Power-POI,0.70329877387218,0.7472453814114893
Baltimore,Exp-Pop,0.737567758936356,0.3812691374232029
Baltimore,Exp-POI,0.730005639128468,0.4049965499284498
Baltimore,Uniform,0.761093266755288,0.0
Baltimore,Weighted,0.7905090555650621,0.0
Baltimore,Rad-Pop,0.4683492804098494,0.0
Baltimore,Rad-POI,0.4780195007555688,0.0
Boston,Power-Pop,0.7193628135976086,0.8974990671305563
Boston,Power-POI,0.6080773508498136,0.5635054490831819
Boston,Exp-Pop,0.7383809201763822,0.452982669118146
Boston,Exp-POI,0.6493561022144322,0.4236310615984169
Boston,Uniform,0.7468800012830209,0.0
Boston,Weighted,0.6897875325058329,0.0
Boston,Rad-Pop,0.473795181340972,0.0
Boston,Rad-POI,0.4056396232095482,0.0
Charlotte,Power-Pop,0.6734089189945519,0.6868849285905695
Charlotte,Power-POI,0.5569017581677989,0.7271968567780545
Charlotte,Exp-Pop,0.750747219777805,0.2142538052199314
Charlotte,Exp-POI,0.5819502093515388,0.2315946670777124
Charlotte,Uniform,0.8016481983056863,0.0
Charlotte,Weighted,0.6585346240788361,0.0
Charlotte,Rad-Pop,0.4805862152652521,0.0
Charlotte,Rad-POI,0.3874004239179933,0.0
Chicago,Power-Pop,0.5144150436158251,0.0944405379627796
Chicago,Power-POI,0.5290493942007575,0.1429717864045716
Chicago,Exp-Pop,0.5826381654655594,0.1554655822507454
Chicago,Exp-POI,0.5898220861861339,0.1452420090897115
Chicago,Uniform,0.6543038964083704,0.0
Chicago,Weighted,0.6916760957961926,0.0
Chicago,Rad-Pop,0.2121480081733958,0.0
Chicago,Rad-POI,0.2166430997098324,0.0
Colorado_Springs,Power-Pop,0.8384790400550165,1.2651348782519376
Colorado_Springs,Power-POI,0.804441276210171,1.3037918701529752
Colorado_Springs,Exp-Pop,0.8046540754741256,0.2121032216256535
Colorado_Springs,Exp-POI,0.7772167176370898,0.21047503549719
Colorado_Springs,Uniform,0.8333242645580967,0.0
Colorado_Springs,Weighted,0.8440695158235471,0.0
Colorado_Springs,Rad-Pop,0.5292830464202966,0.0
Colorado_Springs,Rad-POI,0.5263051638392829,0.0
Columbus,Power-Pop,0.687939973214604,0.9979312359013024
Columbus,Power-POI,0.6434583539640497,0.9583108749356928
Columbus,Exp-Pop,0.740103896647374,0.2357893806841028
Columbus,Exp-POI,0.6606265795364915,0.2961463044132666
Columbus,Uniform,0.7832030615734263,0.0
Columbus,Weighted,0.7487447066040581,0.0
Columbus,Rad-Pop,0.518481037029332,0.0
Columbus,Rad-POI,0.4844526077956376,0.0
Dallas,Power-Pop,0.5006216177922093,0.0533108797516676
Dallas,Power-POI,0.4579393378211993,0.0746417395587662
Dallas,Exp-Pop,0.5892684348144991,0.0808058281087097
Dallas,Exp-POI,0.5174488320659717,0.0835177333928989
Dallas,Uniform,0.7857237008503732,0.0
Dallas,Weighted,0.6722252528893067,0.0
Dallas,Rad-Pop,0.2636622669395969,0.0
Dallas,Rad-POI,0.2525128013630685,0.0
Denver,Power-Pop,0.7873592425292427,1.4088530284710077
Denver,Power-POI,0.616373405021484,1.4440966187602162
Denver,Exp-Pop,0.7684628315049539,0.2888091032654407
Denver,Exp-POI,0.6091359426035182,0.2816703264385931
Denver,Uniform,0.8193592746545753,0.0
Denver,Weighted,0.6782723656675379,0.0
Denver,Rad-Pop,0.5377204767621402,0.0
Denver,Rad-POI,0.4387879097904005,0.0
Detroit,Power-Pop,0.6392866249868784,0.5805376857875557
Detroit,Power-POI,0.6197301724236065,0.6070920308799187
Detroit,Exp-Pop,0.6971524204887933,0.2887943381021324
Detroit,Exp-POI,0.6576563797642945,0.2669999867686747
Detroit,Uniform,0.7545167513647183,0.0
Detroit,Weighted,0.7357601757686978,0.0
Detroit,Rad-Pop,0.4548642070914451,0.0
Detroit,Rad-POI,0.4335030492532472,0.0
El_Paso,Power-Pop,0.8067319431650949,1.317718029247268
El_Paso,Power-POI,0.761899719503694,1.2404040382566628
El_Paso,Exp-Pop,0.7741090499898776,0.1906802714355589
El_Paso,Exp-POI,0.7475199051319472,0.1703549727758874
El_Paso,Uniform,0.8235333334983168,0.0
El_Paso,Weighted,0.8215812897788031,0.0
El_Paso,Rad-Pop,0.5148297609873306,0.0
El_Paso,Rad-POI,0.5017205325605087,0.0
Fort_Worth,Power-Pop,0.7709341696880062,1.581830452575878
Fort_Worth,Power-POI,0.7384115351961514,1.580447623956538
Fort_Worth,Exp-Pop,0.7843985579875058,0.249946622324901
Fort_Worth,Exp-POI,0.7556493465315469,0.2522006886745099
Fort_Worth,Uniform,0.8374932862071365,0.0
Fort_Worth,Weighted,0.8302892205254871,0.0
Fort_Worth,Rad-Pop,0.5778193659447878,0.0
Fort_Worth,Rad-POI,0.5755236316391492,0.0
Fresno,Power-Pop,0.829447084206316,1.3381535663480957
Fresno,Power-POI,0.7238899567957418,1.5561690464219042
Fresno,Exp-Pop,0.7983281148022228,0.2759473206505652
Fresno,Exp-POI,0.7027770752149253,0.2934296231394496
Fresno,Uniform,0.842132604263816,0.0
Fresno,Weighted,0.7840316088659816,0.0
Fresno,Rad-Pop,0.5431049021580531,0.0
Fresno,Rad-POI,0.5198582385099498,0.0
Houston,Power-Pop,0.5656427982143488,0.3192148519527742
Houston,Power-POI,0.4334796889180048,0.3342515708420613
Houston,Exp-Pop,0.6739865977387054,0.17654967701369
Houston,Exp-POI,0.4813368307916872,0.1698987667216389
Houston,Uniform,0.7662596150244732,0.0
Houston,Weighted,0.5580606225038437,0.0
Houston,Rad-Pop,0.3377105255768659,0.0
Houston,Rad-POI,0.2674915397485648,0.0
Indianapolis,Power-Pop,0.743444180361173,1.5423023214847318
Indianapolis,Power-POI,0.631585071262468,1.4637942513393931
Indianapolis,Exp-Pop,0.7535758360163533,0.2231307995088521
Indianapolis,Exp-POI,0.6441521668955992,0.2482324413316759
Indianapolis,Uniform,0.7875519235082725,0.0
Indianapolis,Weighted,0.7067638754725006,0.0
Indianapolis,Rad-Pop,0.5059482512700441,0.0
Indianapolis,Rad-POI,0.4364382513598336,0.0
Jacksonville,Power-Pop,0.7638952359429942,1.4715960749920691
Jacksonville,Power-POI,0.5963722580954118,1.529266631610664
Jacksonville,Exp-Pop,0.7761211973206311,0.1831078400488665
Jacksonville,Exp-POI,0.6062992474931933,0.2001899547877446
Jacksonville,Uniform,0.8103324243193433,0.0
