SUBZONE_C,A_j
OTSZ02,28.0
BMSZ02,116.0
OTSZ03,1064.0
DTSZ04,26.0
DTSZ05,218.0
OTSZ04,221.0
BMSZ10,140.0
DTSZ12,166.0
BMSZ04,155.0
DTSZ06,69.0
MSSZ01,214.0
OTSZ01,122.0
SRSZ03,267.0
BMSZ08,104.0
BMSZ03,227.0
BMSZ07,198.0
BMSZ09,105.0
SRSZ02,222.0
BMSZ15,78.0
DTSZ09,168.0
BMSZ16,97.0
BMSZ14,79.0
DTSZ07,147.0
DTSZ08,208.0
BMSZ11,57.0
BMSZ13,261.0
QTSZ14,264.0
QTSZ13,302.0
QTSZ07,97.0
QTSZ12,385.0
BMSZ06,38.0
MESZ01,23.0
RVSZ05,96.0
SRSZ01,206.0
WISZ01,38.0
WISZ03,0.0
WISZ02,2.0
SISZ02,50.0
SISZ01,885.0
BMSZ17,44.0
DTSZ10,47.0
SVSZ01,26.0
BMSZ01,755.0
DTSZ11,222.0
BMSZ05,77.0
BMSZ12,46.0
MPSZ04,143.0
QTSZ11,1175.0
RVSZ01,43.0
RCSZ04,17.0
KLSZ09,206.0
QTSZ05,164.0
ORSZ01,54.0
MPSZ03,583.0
QTSZ04,60.0
RCSZ06,21.0
RCSZ03,72.0
QTSZ08,358.0
KLSZ05,347.0
MPSZ01,184.0
QTSZ03,79.0
QTSZ10,344.0
ORSZ02,646.0
NTSZ06,26.0
RCSZ02,421.0
PNSZ04,2.0
TNSZ03,266.0
NTSZ04,82.0
CLSZ08,113.0
TSSZ06,103.0
NTSZ05,9.0
BDSZ07,147.0
CLSZ07,231.0
MUSZ02,186.0
MPSZ05,22.0
DTSZ03,576.0
ORSZ03,375.0
RCSZ09,201.0
TNSZ02,276.0
PNSZ05,17.0
JESZ10,11.0
NTSZ01,73.0
KLSZ04,97.0
RCSZ05,495.0
RCSZ08,102.0
RCSZ07,21.0
PNSZ01,64.0
GLSZ01,59.0
JESZ06,19.0
BLSZ01,37.0
BTSZ06,177.0
BDSZ03,451.0
MPSZ02,406.0
QTSZ02,165.0
RCSZ01,255.0
NTSZ03,116.0
JESZ09,10.0
BLSZ03,8.0
BLSZ04,11.0
QTSZ01,76.0
KLSZ06,763.0
NTSZ02,55.0
CLSZ09,20.0
QTSZ09,171.0
CLSZ06,221.0
KLSZ07,207.0
KLSZ03,106.0
KLSZ08,174.0
BTSZ04,134.0
BTSZ08,79.0
TSSZ05,47.0
TNSZ01,314.0
CLSZ05,88.0
BDSZ08,230.0
PNSZ03,21.0
PNSZ02,28.0
GLSZ04,945.0
TNSZ04,548.0
NVSZ02,433.0
BLSZ02,33.0
BDSZ05,555.0
CLSZ04,248.0
MUSZ03,167.0
RVSZ04,71.0
DTSZ02,628.0
QTSZ06,189.0
RVSZ03,47.0
QTSZ15,283.0
MUSZ01,229.0
DTSZ01,485.0
RCSZ10,412.0
RVSZ02,24.0
TSSZ04,18.0
BTSZ07,228.0
GLSZ05,789.0
JESZ08,217.0
JESZ07,15.0
KLSZ02,93.0
CLSZ03,73.0
NVSZ03,126.0
BDSZ06,287.0
TMSZ02,608.0
BDSZ01,275.0
JESZ02,95.0
BKSZ09,87.0
JWSZ09,379.0
BDSZ02,308.0
BTSZ01,482.0
BTSZ02,257.0
TMSZ05,302.0
TMSZ04,278.0
JWSZ02,108.0
BKSZ08,63.0
BKSZ06,53.0
BKSZ07,122.0
SGSZ07,116.0
HGSZ08,197.0
TSSZ01,2.0
JESZ01,94.0
JWSZ08,397.0
SGSZ05,71.0
JWSZ03,235.0
TSSZ02,43.0
PLSZ04,4.0
SGSZ06,294.0
BSSZ03,384.0
TMSZ03,544.0
BKSZ03,170.0
NVSZ04,96.0
CLSZ02,97.0
GLSZ02,224.0
TPSZ07,58.0
BDSZ04,724.0
TPSZ02,366.0
JESZ05,204.0
BTSZ03,321.0
GLSZ03,330.0
TPSZ11,145.0
TPSZ09,87.0
KLSZ01,384.0
NVSZ01,1046.0
TPSZ12,193.0
JWSZ05,23.0
TPSZ05,42.0
JESZ03,136.0
TPSZ03,57.0
TPSZ10,198.0
TPSZ08,35.0
JWSZ04,250.0
JESZ04,206.0
TPSZ01,138.0
HGSZ09,39.0
BKSZ04,98.0
BSSZ02,215.0
JWSZ01,64.0
BPSZ07,285.0
BKSZ05,240.0
CBSZ01,13.0
PLSZ02,12.0
BSSZ01,888.0
BKSZ02,145.0
AMSZ04,107.0
HGSZ06,178.0
AMSZ03,140.0
AMSZ05,109.0
SGSZ04,253.0
HGSZ01,240.0
PRSZ07,35.0
BPSZ06,167.0
PRSZ05,138.0
TMSZ01,239.0
AMSZ02,171.0
AMSZ01,223.0
AMSZ06,101.0
SGSZ02,30.0
THSZ01,388.0
SGSZ03,46.0
PRSZ03,534.0
BKSZ01,80.0
PLSZ05,44.0
PLSZ01,21.0
