Zone,Model,CPC,R2
AMSZ01,No POI (Eq),0.6792277500389597,0.6585489227700361
AMSZ01,POI Weighted,0.6953237136076614,0.6068114524060995
AMSZ01,Global P_bin,0.5696506881503312,0.45953915504837706
AMSZ02,No POI (Eq),0.5734502679865526,0.5253446625522573
AMSZ02,POI Weighted,0.5865089347704916,0.44720076382580687
AMSZ02,Global P_bin,0.4629223241413331,0.1553186388637703
AMSZ03,No POI (Eq),0.6533497763674698,0.641532588784224
AMSZ03,POI Weighted,0.7128652274820221,0.7096891522085
AMSZ03,Global P_bin,0.5341643221762722,0.29122133180393406
AMSZ04,No POI (Eq),0.7311298507227056,0.8185789964605448
AMSZ04,POI Weighted,0.7028803333968103,0.40193381191005106
AMSZ04,Global P_bin,0.5607970025516797,0.4699387437821969
AMSZ05,No POI (Eq),0.7134530890133283,0.7977369062489151
AMSZ05,POI Weighted,0.6948934704648786,0.4798491686806893
AMSZ05,Global P_bin,0.5088875369386301,0.4082441486791287
AMSZ06,No POI (Eq),0.6277531853545262,0.6152035330359091
AMSZ06,POI Weighted,0.6866605660864754,0.6586097565305254
AMSZ06,Global P_bin,0.4790412840798592,0.2712537885504146
AMSZ07,No POI (Eq),0.674727500684658,0.6550224065722485
AMSZ07,POI Weighted,0.7631539327998788,0.8665411402302651
AMSZ07,Global P_bin,0.5085750819049066,0.21096525232038388
AMSZ08,No POI (Eq),0.6862127032414235,0.6239731457745684
AMSZ08,POI Weighted,0.7413572381088448,0.7401939236409358
AMSZ08,Global P_bin,0.5303525476920281,0.10933462912132796
AMSZ09,No POI (Eq),0.6641786750867821,0.7145566155546561
AMSZ09,POI Weighted,0.7427762727283407,0.8299661616505145
AMSZ09,Global P_bin,0.48867913144210523,0.30947163963769553
AMSZ10,No POI (Eq),0.5965670681481023,0.5399386963062829
AMSZ10,POI Weighted,0.6454617992035762,0.5174335670083717
AMSZ10,Global P_bin,0.47042347326888084,0.12256719156928719
AMSZ11,No POI (Eq),0.521409024623672,0.2658857579676249
AMSZ11,POI Weighted,0.5977757670560221,0.4243241474356765
AMSZ11,Global P_bin,0.457795194062628,0.10797592960273972
AMSZ12,No POI (Eq),0.522834705301355,0.31912151260088395
AMSZ12,POI Weighted,0.6075050807831255,0.431373987514707
AMSZ12,Global P_bin,0.4416155080497973,0.15630576746185043
BDSZ01,No POI (Eq),0.6607177926723592,0.6848038845851097
BDSZ01,POI Weighted,0.7601972395879465,0.8640879130932204
BDSZ01,Global P_bin,0.5076801513715833,0.19600916315641825
BDSZ02,No POI (Eq),0.641401574894122,0.67927458200595
BDSZ02,POI Weighted,0.7715084661347607,0.8918342663061767
BDSZ02,Global P_bin,0.44989924862909575,0.32618860793086635
BDSZ03,No POI (Eq),0.5969382632001021,0.4809792813236389
BDSZ03,POI Weighted,0.7195818499124059,0.6899608718242487
BDSZ03,Global P_bin,0.4447818004032899,0.20633506867311002
BDSZ04,No POI (Eq),0.7450783283750743,0.9368833293075269
BDSZ04,POI Weighted,0.8066766740132488,0.9631069966427721
BDSZ04,Global P_bin,0.4874992459915959,0.26260959011800145
BDSZ05,No POI (Eq),0.6995866882226758,0.8125706209623655
BDSZ05,POI Weighted,0.8449649249823716,0.9431963406954346
BDSZ05,Global P_bin,0.48866991590285946,0.27009424562452466
BDSZ06,No POI (Eq),0.6735881670725203,0.6991763090555421
BDSZ06,POI Weighted,0.7769864036057509,0.8156191093627098
BDSZ06,Global P_bin,0.46865115612282654,0.25161867728597964
BDSZ07,No POI (Eq),0.5698371855263273,0.29601037234168626
BDSZ07,POI Weighted,0.6643358800550098,0.4324982789576506
BDSZ07,Global P_bin,0.46080121110289335,0.127412648803514
BDSZ08,No POI (Eq),0.634604346402382,0.5993494402502602
BDSZ08,POI Weighted,0.7309103967209288,0.7403784184006567
BDSZ08,Global P_bin,0.47760362626465547,0.23511562216084803
BKSZ01,No POI (Eq),0.6769114550595493,0.6728621695026369
BKSZ01,POI Weighted,0.6372836817658665,0.4902981865154964
BKSZ01,Global P_bin,0.5761117981592807,0.42765558635495593
BKSZ02,No POI (Eq),0.6940318459635665,0.700654845020902
BKSZ02,POI Weighted,0.6875298026201235,0.5910243120822911
BKSZ02,Global P_bin,0.5906486339370967,0.38747372511612044
BKSZ03,No POI (Eq),0.6808248249304192,0.6868533203199398
BKSZ03,POI Weighted,0.6816027176463004,0.45330289773746746
BKSZ03,Global P_bin,0.5617656320896086,0.3695318470146599
BKSZ04,No POI (Eq),0.5759693499059447,0.47807814830589557
BKSZ04,POI Weighted,0.6308944892296734,0.5339489712315586
BKSZ04,Global P_bin,0.47307650744340085,0.22255939226731203
BKSZ05,No POI (Eq),0.6605189524046619,0.6872783292065322
BKSZ05,POI Weighted,0.7180963981570286,0.6866923572845516
BKSZ05,Global P_bin,0.5447753683668946,0.25051304576472
BKSZ06,No POI (Eq),0.6674069522898004,0.6928359164036075
BKSZ06,POI Weighted,0.733120167614234,0.8075284708152922
BKSZ06,Global P_bin,0.5776464387413783,0.45043339519379766
BKSZ07,No POI (Eq),0.673514218547105,0.7168818781192757
BKSZ07,POI Weighted,0.720286367097408,0.780637913672199
BKSZ07,Global P_bin,0.5420328105569453,0.4880991339128252
BKSZ08,No POI (Eq),0.6355376991760432,0.5845735931768561
BKSZ08,POI Weighted,0.7153657615359871,0.7185744200863314
BKSZ08,Global P_bin,0.5464853235416351,0.3493296041054781
BKSZ09,No POI (Eq),0.6602369455351451,0.5281303680329718
BKSZ09,POI Weighted,0.6595503437585664,0.3118392836033974
BKSZ09,Global P_bin,0.5910705974382876,0.33556057506274706
BLSZ01,No POI (Eq),0.6701109319013323,0.7519213283240263
BLSZ01,POI Weighted,0.6937710714432573,0.7980625560314951
BLSZ01,Global P_bin,0.5673018900538757,0.4515571564799796
BLSZ02,No POI (Eq),0.6307832104509735,0.5641451864571783
BLSZ02,POI Weighted,0.7019500609023518,0.8122890803038907
BLSZ02,Global P_bin,0.5514701472547263,0.38481730467055775
BLSZ03,No POI (Eq),0.6192818656183032,0.7734792704816321
BLSZ03,POI Weighted,0.6930549216780607,0.8896782510882261
BLSZ03,Global P_bin,0.4349357559897022,0.26038385156588384
BLSZ04,No POI (Eq),0.6039083270502484,0.41444425822476927
BLSZ04,POI Weighted,0.7390777029775674,0.9307611082828186
BLSZ04,Global P_bin,0.4977010227431121,0.25102768304112333
BMSZ01,No POI (Eq),0.6265199545963578,0.6863523819066188
BMSZ01,POI Weighted,0.7046203130531735,0.7104022609707912
BMSZ01,Global P_bin,0.5490528949633968,0.11151277925460135
BMSZ02,No POI (Eq),0.6086038003717889,0.43009848443057475
BMSZ02,POI Weighted,0.5960037172640331,0.17697213860296557
BMSZ02,Global P_bin,0.5402424151996124,0.3278048203160827
BMSZ03,No POI (Eq),0.5199511619079435,0.2846905751244998
BMSZ03,POI Weighted,0.5817183477036886,0.34464404023139605
BMSZ03,Global P_bin,0.48026925308232016,0.1797278152328189
BMSZ04,No POI (Eq),0.5932060850198515,0.41022463227421624
BMSZ04,POI Weighted,0.6204537993230126,0.18999136231442681
BMSZ04,Global P_bin,0.5215243664408717,0.2703175323521495
BMSZ05,No POI (Eq),0.5191406670411636,0.22631217290721106
BMSZ05,POI Weighted,0.6602801556449606,0.5291744081830807
BMSZ05,Global P_bin,0.4878932714496098,0.13543151019871202
BMSZ06,No POI (Eq),0.5897394767474918,0.4677380628347274
BMSZ06,POI Weighted,0.5746927635732879,0.21023569676721565
BMSZ06,Global P_bin,0.5129394522988732,0.27609857849099584
BMSZ07,No POI (Eq),0.6709969035527039,0.5848570936027407
BMSZ07,POI Weighted,0.6686216474695512,0.5360216625437595
BMSZ07,Global P_bin,0.6380704652694121,0.3384808176209335
BMSZ08,No POI (Eq),0.6270416096112645,0.5261650351426288
BMSZ08,POI Weighted,0.7007165436471847,0.6404900478156517
BMSZ08,Global P_bin,0.5820122465164026,0.34355963432276904
BMSZ09,No POI (Eq),0.6728790122627634,0.5193269442985641
BMSZ09,POI Weighted,0.6810536146678753,0.3338457348281415
BMSZ09,Global P_bin,0.6142855832686404,0.3401685882587955
BMSZ10,No POI (Eq),0.636434264097712,0.4791915998755739
BMSZ10,POI Weighted,0.6936389563411348,0.4076511948881475
BMSZ10,Global P_bin,0.6017755953333251,0.28322493906162627
BMSZ11,No POI (Eq),0.6153145376869339,0.33859506654582006
BMSZ11,POI Weighted,0.6222349874645735,0.015610521153767043
BMSZ11,Global P_bin,0.5572393387512625,0.24821663825724083
BMSZ12,No POI (Eq),0.6489674730865346,0.5695079360480355
BMSZ12,POI Weighted,0.6509806559081354,0.3764766295021179
BMSZ12,Global P_bin,0.6021222159633091,0.3764038545571545
BMSZ13,No POI (Eq),0.6347881264764882,0.4977890243232398
BMSZ13,POI Weighted,0.7414956242209241,0.8725952118608536
BMSZ13,Global P_bin,0.6109362891940269,0.30933102295117554
BMSZ14,No POI (Eq),0.59408061700025,0.47531311776631224
BMSZ14,POI Weighted,0.6449639334431408,0.43561139856262465
BMSZ14,Global P_bin,0.5522572627391892,0.3299261937108219
BMSZ15,No POI (Eq),0.6499839982542044,0.5170446354207137
BMSZ15,POI Weighted,0.7192207405946608,0.775228288162437
BMSZ15,Global P_bin,0.5823765083520902,0.3808668993875983
BMSZ16,No POI (Eq),0.5862991844192355,0.34718221623929446
BMSZ16,POI Weighted,0.5763293571135962,-0.009442322447444473
BMSZ16,Global P_bin,0.5444459224719314,0.25650107885120266
BMSZ17,No POI (Eq),0.4773103745894508,0.23901548553761687
BMSZ17,POI Weighted,0.5302805899668213,0.5140908035249514
BMSZ17,Global P_bin,0.39999779345304914,0.09026222735233813
BPSZ01,No POI (Eq),0.6484010271662486,0.5977874602696703
BPSZ01,POI Weighted,0.7059705082133865,0.7493618825996771
BPSZ01,Global P_bin,0.5183723873277005,0.3653376073587411
BPSZ02,No POI (Eq),0.683637674302965,0.7613113595525333
BPSZ02,POI Weighted,0.6905471601014723,0.712044759619611
BPSZ02,Global P_bin,0.4817349701870098,0.3571990717322534
BPSZ03,No POI (Eq),0.7141342510289757,0.8527080381184425
BPSZ03,POI Weighted,0.7464899151451431,0.865640378597927
BPSZ03,Global P_bin,0.47622457872282925,0.3737890395774184
BPSZ04,No POI (Eq),0.6606015777124512,0.7094471760833069
BPSZ04,POI Weighted,0.6614795825523396,0.5605764935320597
BPSZ04,Global P_bin,0.5080119429087555,0.2611463797495749
BPSZ05,No POI (Eq),0.7388916944828443,0.803626112120717
BPSZ05,POI Weighted,0.7553015043871265,0.7777691507867986
BPSZ05,Global P_bin,0.5842600747117749,0.48248612749241904
BPSZ06,No POI (Eq),0.6332630119595742,0.5099510410772593
BPSZ06,POI Weighted,0.7219110261221726,0.6776754150512474
BPSZ06,Global P_bin,0.5312340479124497,0.12296507533047885
BPSZ07,No POI (Eq),0.5898958065766269,0.5416548013649491
BPSZ07,POI Weighted,0.7097547335699756,0.7977001660944614
BPSZ07,Global P_bin,0.47755063850976687,0.07938864635368259
BSSZ01,No POI (Eq),0.7057332192011899,0.8910293314206508
BSSZ01,POI Weighted,0.7997110073460448,0.9526584375784442
BSSZ01,Global P_bin,0.5158350074873134,0.0915434275981869
BSSZ02,No POI (Eq),0.6728271682475702,0.692031006700752
BSSZ02,POI Weighted,0.7737299680880065,0.814654858514986
BSSZ02,Global P_bin,0.5462785299978149,0.23223184023520027
BSSZ03,No POI (Eq),0.6415451294869919,0.7636910793728962
