ORIGIN_SUBZONE,distance_bin,COUNT
1101053.0,0.0,23825.22974209581
1101053.0,1.0,461413.9165623852
1101053.0,2.0,153052.038090907
1101053.0,3.0,78058.07824223182
1101053.0,4.0,112884.53071676056
1101053.0,5.0,74610.60479145385
1101053.0,6.0,73942.57999818295
1101053.0,7.0,75903.35077871759
1101053.0,8.0,68072.34043953738
1101053.0,9.0,57505.94773420832
1101053.0,10.0,67027.21744274703
1101053.0,11.0,57940.163238651636
1101053.0,12.0,31149.619380125347
1101053.0,13.0,26737.41152329186
1101053.0,14.0,9775.225639491731
1101053.0,15.0,15903.770697367121
1101053.0,16.0,6987.064456755563
1101053.0,17.0,1266.3807904236476
1101053.0,18.0,1647.7044582572096
1101054.0,0.0,24429.169941605585
1101054.0,1.0,122519.32636145731
1101054.0,2.0,33282.05285577702
1101054.0,3.0,26434.090664110226
1101054.0,4.0,26974.865130547892
1101054.0,5.0,14931.882707246727
1101054.0,6.0,24682.362023773137
1101054.0,7.0,13645.628725649605
1101054.0,8.0,10445.402064780541
1101054.0,9.0,15945.597985429515
1101054.0,10.0,14341.788463233013
1101054.0,11.0,12047.672344582576
1101054.0,12.0,10483.139690686061
1101054.0,13.0,6916.207490184239
1101054.0,14.0,4065.3494385006816
1101054.0,15.0,5183.867764477416
1101054.0,16.0,3415.5713234412783
1101054.0,17.0,944.1979945798892
1101054.0,18.0,391.10718447684144
1101055.0,1.0,64993.18558932278
1101055.0,2.0,149155.96307183016
1101055.0,3.0,70989.74267895834
1101055.0,4.0,55956.536306296024
1101055.0,5.0,45084.89980570416
1101055.0,6.0,20539.146970667247
1101055.0,7.0,20513.359735914928
1101055.0,8.0,14948.561605729758
1101055.0,9.0,15521.049030580116
1101055.0,10.0,15184.946173323293
1101055.0,11.0,14715.187620861836
1101055.0,12.0,13107.223920827142
1101055.0,13.0,13868.326264562913
1101055.0,14.0,7239.385511712696
1101055.0,15.0,3765.2013217648873
1101055.0,16.0,2474.4580942472494
1101055.0,17.0,3277.4047051409216
1101055.0,18.0,1969.937035491611
1101055.0,19.0,435.5822097444725
1101055.0,20.0,228.9059677413513
1101056.0,2.0,91780.09224744434
1101056.0,3.0,93704.0081904513
1101056.0,4.0,89616.24890700652
1101056.0,5.0,42671.58911842614
1101056.0,6.0,25751.01668242453
1101056.0,7.0,24712.461155645393
1101056.0,8.0,11773.773152690064
1101056.0,9.0,15797.721294339179
1101056.0,10.0,16497.24125817868
1101056.0,11.0,8535.507799469991
1101056.0,12.0,13612.322516400103
1101056.0,13.0,11362.217102609173
1101056.0,14.0,11843.887569564778
1101056.0,15.0,7822.8092782173535
1101056.0,16.0,4886.358186889184
1101056.0,17.0,3397.2905556540745
1101056.0,18.0,1042.556195555413
1101056.0,19.0,2093.982107414089
1101056.0,20.0,358.428411492904
1101056.0,21.0,79.2327561451594
1101057.0,0.0,47474.42558930664
1101057.0,1.0,45633.28003949584
1101057.0,2.0,53349.16561198676
1101057.0,3.0,23118.27532699054
1101057.0,4.0,24222.383811510335
1101057.0,5.0,11185.617682637572
1101057.0,6.0,12735.089350658454
1101057.0,7.0,8051.678371130736
1101057.0,8.0,5618.188431525787
1101057.0,9.0,7370.206940083522
1101057.0,10.0,6419.244548069236
1101057.0,11.0,7868.534846651177
1101057.0,12.0,4566.6405575609015
1101057.0,13.0,2359.611192129978
1101057.0,14.0,1687.1446793548603
1101057.0,15.0,694.4436828012444
1101057.0,16.0,970.7674997204348
1101057.0,17.0,878.2205347386189
1101057.0,18.0,91.09863173364032
1101057.0,19.0,177.42224441991098
1101058.0,0.0,133857.0720576094
1101058.0,1.0,76744.2815018498
1101058.0,2.0,102314.90083670388
1101058.0,3.0,31451.81799883016
1101058.0,4.0,39958.650826402496
1101058.0,5.0,34752.505625213365
1101058.0,6.0,16866.858253642444
1101058.0,7.0,26724.897011602097
1101058.0,8.0,14702.067818752765
1101058.0,9.0,14191.422831344302
1101058.0,10.0,19940.13715839951
1101058.0,11.0,12656.799873749622
1101058.0,12.0,9051.792300856983
1101058.0,13.0,6805.4464724490135
1101058.0,14.0,2813.076655823792
1101058.0,15.0,3828.2356646809444
1101058.0,16.0,2407.236543974398
1101058.0,17.0,599.0471218951639
1101058.0,18.0,321.6709057861116
1101060.0,0.0,127342.25751629888
1101060.0,1.0,66612.00312019975
1101060.0,2.0,41640.99905160905
1101060.0,3.0,32531.61824228681
1101060.0,4.0,31287.64077728956
1101060.0,5.0,27865.34689465241
1101060.0,6.0,31204.117921721027
1101060.0,7.0,25194.690989266695
1101060.0,8.0,22101.55869649925
1101060.0,9.0,22771.18272756232
1101060.0,10.0,17880.552463376447
1101060.0,11.0,13705.812829474826
1101060.0,12.0,12488.36727437173
1101060.0,13.0,9650.919435118372
1101060.0,14.0,7240.9919572208355
1101060.0,15.0,5724.049316066925
1101060.0,16.0,2431.006524923384
1101060.0,17.0,1362.4244586662405
1101061.0,0.0,89849.4064689513
1101061.0,1.0,823392.8221163297
1101061.0,2.0,403423.5850114547
1101061.0,3.0,425404.3691087693
1101061.0,4.0,301247.19316296256
1101061.0,5.0,277675.41301086644
1101061.0,6.0,302708.13817255816
1101061.0,7.0,344872.5259655564
1101061.0,8.0,259221.89957190445
1101061.0,9.0,243780.16996672004
1101061.0,10.0,248565.91707517192
1101061.0,11.0,157156.7003878754
1101061.0,12.0,132181.83871032973
1101061.0,13.0,114731.465984572
1101061.0,14.0,80666.26009633513
1101061.0,15.0,55420.12523184861
