SUBZONE_C,amenity,shop,tourism,leisure,office,public_transport,A_j_raw,A_j
1101053,405,119,30,51,28,33,666,667.0
1101054,269,81,56,58,12,11,487,488.0
1101055,131,42,15,6,0,32,226,227.0
1101056,188,53,29,19,10,50,349,350.0
1101057,64,42,5,12,2,4,129,130.0
1101058,111,55,7,6,2,20,201,202.0
1101060,313,75,103,42,9,24,566,567.0
1101061,1302,354,152,98,38,86,2030,2031.0
1101063,239,79,22,26,6,35,407,408.0
1101064,287,39,14,14,5,15,374,375.0
1101067,101,56,10,5,3,19,194,195.0
1101068,44,26,1,2,0,2,75,76.0
1101069,29,18,0,1,1,4,53,54.0
1101070,21,30,1,4,3,20,79,80.0
1101071,103,54,8,3,4,8,180,181.0
1101072,294,49,43,79,8,23,496,497.0
1101073,260,98,11,33,1,16,419,420.0
1102052,650,135,53,120,31,50,1039,1040.0
1102054,551,108,33,35,22,57,806,807.0
1102055,1035,424,90,59,46,44,1698,1699.0
1102057,364,71,52,99,23,15,624,625.0
1102058,138,24,18,59,3,15,257,258.0
1102059,446,172,52,30,3,28,731,732.0
1102060,320,71,42,46,6,23,508,509.0
1102065,66,57,2,9,2,9,145,146.0
1102067,106,69,2,9,1,5,192,193.0
1102068,78,41,6,19,1,9,154,155.0
1102069,210,102,10,9,4,10,345,346.0
1102070,89,36,2,4,4,12,147,148.0
1102071,62,66,0,7,0,7,142,143.0
1102072,41,32,0,5,2,9,89,90.0
1102073,46,42,0,7,0,9,104,105.0
1103051,74,48,6,10,1,18,157,158.0
1103052,525,50,7,30,5,36,653,654.0
1103053,347,61,77,3,8,49,545,546.0
1103057,62,36,0,7,5,24,134,135.0
1103058,47,25,6,11,2,18,109,110.0
1103059,37,44,0,1,0,22,104,105.0
1103063,82,59,2,27,1,20,191,192.0
1103064,44,10,0,7,0,9,70,71.0
1103065,338,93,14,4,4,16,469,470.0
1103066,233,70,7,8,17,21,356,357.0
1103069,363,21,17,64,14,25,504,505.0
1103070,32,51,0,4,0,9,96,97.0
1103071,180,103,7,17,8,21,336,337.0
1103072,71,66,2,4,4,21,168,169.0
1103073,661,218,13,33,17,78,1020,1021.0
1103074,365,159,19,24,30,41,638,639.0
1104052,20,47,1,6,1,10,85,86.0
1104054,78,51,3,19,5,18,174,175.0
1104055,193,92,6,40,0,42,373,374.0
1104056,105,104,4,16,2,31,262,263.0
1104057,38,67,1,13,2,11,132,133.0
1104058,29,31,1,15,0,16,92,93.0
1104059,41,27,0,14,0,8,90,91.0
1104062,61,46,0,8,0,11,126,127.0
1104065,111,67,11,22,7,30,248,249.0
1104066,144,133,25,6,7,21,336,337.0
1104067,120,74,1,3,5,24,227,228.0
1104068,266,134,2,30,8,25,465,466.0
1104069,39,37,1,2,4,6,89,90.0
1104070,115,115,8,11,13,28,290,291.0
1104071,211,222,3,46,6,20,508,509.0
1104072,79,83,0,7,0,14,183,184.0
